model,seed,step,entropy_bits
GPT 5,1,1,6.643856189774724
GPT 5,1,2,6.066089190457772
GPT 5,1,3,5.247927513443585
GPT 5,1,4,4.169925001442312
GPT 5,1,5,2.584962500721156
GPT 5,1,6,0
GPT 5,1,7,0
GPT 5,1,8,0
GPT 5,2,1,6.643856189774724
GPT 5,2,2,6.129283016944966
GPT 5,2,3,5.285402218862249
GPT 5,2,4,4.087462841250339
GPT 5,2,5,2.584962500721156
GPT 5,2,6,0
GPT 5,2,7,0
GPT 5,2,8,0
GPT 5,3,1,6.643856189774724
GPT 5,3,2,6.22881869049588
GPT 5,3,3,5.285402218862249
GPT 5,3,4,4.169925001442312
GPT 5,3,5,2.584962500721156
GPT 5,3,6,0
GPT 5,3,7,0
GPT 5,3,8,0
GPT 5,4,1,6.643856189774724
GPT 5,4,2,6.266786540694901
GPT 5,4,3,5.357552004618084
GPT 5,4,4,4.169925001442312
GPT 5,4,5,2.321928094887362
GPT 5,4,6,0
GPT 5,4,7,0
GPT 5,4,8,0
GPT 5,5,1,6.643856189774724
GPT 5,5,2,6.247927513443585
GPT 5,5,3,5.321928094887363
GPT 5,5,4,4.169925001442312
GPT 5,5,5,2.584962500721156
GPT 5,5,6,0
GPT 5,5,7,0
GPT 5,5,8,0
GPT 5,6,1,6.643856189774724
GPT 5,6,2,6.247927513443585
GPT 5,6,3,5.357552004618084
GPT 5,6,4,4.169925001442312
GPT 5,6,5,2.584962500721156
GPT 5,6,6,0
GPT 5,6,7,0
GPT 5,6,8,0
GPT 5,7,1,6.643856189774724
GPT 5,7,2,6.189824558880018
GPT 5,7,3,5.247927513443585
GPT 5,7,4,4.087462841250339
GPT 5,7,5,2.807354922057604
GPT 5,7,6,0
GPT 5,7,7,0
GPT 5,7,8,0
GPT 5,8,1,6.643856189774724
GPT 5,8,2,6.169925001442312
GPT 5,8,3,5.321928094887363
GPT 5,8,4,4.247927513443585
GPT 5,8,5,2.584962500721156
GPT 5,8,6,0
GPT 5,8,7,0
GPT 5,8,8,0
GPT 5,9,1,6.643856189774724
GPT 5,9,2,6.22881869049588
GPT 5,9,3,5.321928094887363
GPT 5,9,4,4.169925001442312
GPT 5,9,5,2.807354922057604
GPT 5,9,6,0
GPT 5,9,7,0
GPT 5,9,8,0
GPT 5,10,1,6.643856189774724
GPT 5,10,2,6.20945336562895
GPT 5,10,3,5.357552004618084
GPT 5,10,4,4.169925001442312
GPT 5,10,5,2.321928094887362
GPT 5,10,6,0
GPT 5,10,7,0
GPT 5,10,8,0
Gemini 2.5 Pro,1,1,6.643856189774724
Gemini 2.5 Pro,1,2,6.169925001442312
Gemini 2.5 Pro,1,3,5.129283016944966
Gemini 2.5 Pro,1,4,4.321928094887363
Gemini 2.5 Pro,1,5,2.807354922057604
Gemini 2.5 Pro,1,6,1
Gemini 2.5 Pro,1,7,0
Gemini 2.5 Pro,1,8,0
Gemini 2.5 Pro,2,1,6.643856189774724
Gemini 2.5 Pro,2,2,6.169925001442312
Gemini 2.5 Pro,2,3,5.129283016944966
Gemini 2.5 Pro,2,4,4.247927513443585
Gemini 2.5 Pro,2,5,2.584962500721156
Gemini 2.5 Pro,2,6,1
Gemini 2.5 Pro,2,7,0
Gemini 2.5 Pro,2,8,0
Gemini 2.5 Pro,3,1,6.643856189774724
Gemini 2.5 Pro,3,2,6.169925001442312
Gemini 2.5 Pro,3,3,5.20945336562895
Gemini 2.5 Pro,3,4,4.247927513443585
Gemini 2.5 Pro,3,5,2.807354922057604
Gemini 2.5 Pro,3,6,1
Gemini 2.5 Pro,3,7,0
Gemini 2.5 Pro,3,8,0
Gemini 2.5 Pro,4,1,6.643856189774724
Gemini 2.5 Pro,4,2,6.108524456778169
Gemini 2.5 Pro,4,3,5.247927513443585
Gemini 2.5 Pro,4,4,4.247927513443585
Gemini 2.5 Pro,4,5,3
Gemini 2.5 Pro,4,6,1
Gemini 2.5 Pro,4,7,0
Gemini 2.5 Pro,4,8,0
Gemini 2.5 Pro,5,1,6.643856189774724
Gemini 2.5 Pro,5,2,6.22881869049588
Gemini 2.5 Pro,5,3,5.20945336562895
Gemini 2.5 Pro,5,4,4.321928094887363
Gemini 2.5 Pro,5,5,2.807354922057604
Gemini 2.5 Pro,5,6,1
Gemini 2.5 Pro,5,7,0
Gemini 2.5 Pro,5,8,0
Gemini 2.5 Pro,6,1,6.643856189774724
Gemini 2.5 Pro,6,2,6.20945336562895
Gemini 2.5 Pro,6,3,5.169925001442312
Gemini 2.5 Pro,6,4,4.247927513443585
Gemini 2.5 Pro,6,5,2.807354922057604
Gemini 2.5 Pro,6,6,1
Gemini 2.5 Pro,6,7,0
Gemini 2.5 Pro,6,8,0
Gemini 2.5 Pro,7,1,6.643856189774724
Gemini 2.5 Pro,7,2,6.22881869049588
Gemini 2.5 Pro,7,3,5.247927513443585
Gemini 2.5 Pro,7,4,4.321928094887363
Gemini 2.5 Pro,7,5,2.807354922057604
Gemini 2.5 Pro,7,6,1
Gemini 2.5 Pro,7,7,0
Gemini 2.5 Pro,7,8,0
Gemini 2.5 Pro,8,1,6.643856189774724
Gemini 2.5 Pro,8,2,6.20945336562895
Gemini 2.5 Pro,8,3,5.129283016944966
Gemini 2.5 Pro,8,4,4.392317422778761
Gemini 2.5 Pro,8,5,2.584962500721156
Gemini 2.5 Pro,8,6,1
Gemini 2.5 Pro,8,7,0
Gemini 2.5 Pro,8,8,0
Gemini 2.5 Pro,9,1,6.643856189774724
Gemini 2.5 Pro,9,2,6.266786540694901
Gemini 2.5 Pro,9,3,5.169925001442312
Gemini 2.5 Pro,9,4,4.523561956057013
Gemini 2.5 Pro,9,5,2.807354922057604
Gemini 2.5 Pro,9,6,1
Gemini 2.5 Pro,9,7,0
Gemini 2.5 Pro,9,8,0
Gemini 2.5 Pro,10,1,6.643856189774724
Gemini 2.5 Pro,10,2,6.189824558880018
Gemini 2.5 Pro,10,3,5.087462841250339
Gemini 2.5 Pro,10,4,4.459431618637297
Gemini 2.5 Pro,10,5,3
Gemini 2.5 Pro,10,6,1
Gemini 2.5 Pro,10,7,0
Gemini 2.5 Pro,10,8,0
Claude Sonnet 4.5,1,1,6.643856189774724
Claude Sonnet 4.5,1,2,6.285402218862249
Claude Sonnet 4.5,1,3,5.392317422778761
Claude Sonnet 4.5,1,4,4.584962500721156
Claude Sonnet 4.5,1,5,3.169925001442312
Claude Sonnet 4.5,1,6,1.584962500721156
Claude Sonnet 4.5,1,7,1
Claude Sonnet 4.5,1,8,0
Claude Sonnet 4.5,2,1,6.643856189774724
Claude Sonnet 4.5,2,2,6.266786540694901
Claude Sonnet 4.5,2,3,5.392317422778761
Claude Sonnet 4.5,2,4,4.523561956057013
Claude Sonnet 4.5,2,5,2.807354922057604
Claude Sonnet 4.5,2,6,1.584962500721156
Claude Sonnet 4.5,2,7,1
Claude Sonnet 4.5,2,8,0
Claude Sonnet 4.5,3,1,6.643856189774724
